district	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	
Ngora	145000	149000	153100	157300	161600	165800	170000	174300	178400	182600	186800	190800	194800	198600	202400	205900	
Ntoroko	68100	69800	71300	72900	74500	76000	77700	79200	80700	82100	83600	85000	86400	87700	88900	90000	
Ntungamo	491200	501100	511100	521100	531100	540800	550500	559900	569200	578200	586800	595100	603000	610300	617200	622900	
Nwoya	144700	159700	176200	194300	214200	236000	259800	285800	314300	345300	379100	415800	455600	498900	545800	595600	
Obongi	43800	44900	46100	47100	48100	49100	50300	51300	52300	53200	54300	55300	56200	57100	57900	58600	
Omoro	165300	171200	177300	183500	189900	196400	203000	209600	216400	223200	230000	236800	243600	250400	257100	263500	
Otuke	107900	112600	117600	122700	128100	133500	139000	144700	150600	156600	162600	168900	175100	181400	187700	193900	
Oyam	392600	404500	416500	428800	441300	453700	466300	479000	491600	504200	516700	529100	541200	553200	564900	575600	
Pader	180400	183800	187200	190700	194000	197300	200500	203700	206700	209600	212400	215100	217700	220000	222100	223900	
Pakwach	162900	169400	175900	182800	189700	196800	204100	211500	219000	226600	234400	242100	249900	257600	265400	272900	
Pallisa	284900	297700	310900	324600	338800	353400	368400	383700	399500	415500	431900	448500	465400	482400	499700	516400	
Rakai	282000	289000	296100	303300	310500	317700	324800	331900	338900	345700	352500	359100	365500	371700	377700	382800	
Rubanda	198300	200500	202600	204600	206600	208500	210300	211900	213400	214800	216000	217000	217900	218500	219000	218900	
Rubirizi	131000	133700	136300	138900	141500	144100	146600	149100	151500	153900	156100	158200	160300	162200	164000	165400	
Rukiga	101200	102100	103000	103800	104700	105400	106000	106700	107200	107700	108000	108400	108500	108600	108600	108300	
Rukungiri	317100	320500	324100	327400	330700	333800	336700	339400	342000	344200	346300	348000	349400	350600	351300	351300	
Rwampara	130000	132800	135800	138700	141600	144600	147400	150500	153100	156200	158700	161200	163700	166100	168400	170200	
Serere	295100	307200	319800	332700	345900	359500	373300	387500	401800	416500	431300	446400	461400	476600	491800	506400	
Sheema	209000	211400	213800	216100	218400	220500	222600	224500	226300	227900	229300	230600	231700	232500	233200	233300	
Sironko	246500	252000	257600	263200	268800	274300	279700	285200	290500	295600	300700	305600	310200	314700	318900	322500	
Soroti	246500	255600	265000	274400	284000	293700	303800	313600	323800	334400	344600	355000	365600	375600	386200	395500	
Soroti City	58800	60800	62900	65100	67400	69900	72100	74800	77200	79500	82000	84500	86700	89500	91600	94200	
Ssembabule	258200	265500	273100	280700	288400	296100	303900	311700	319300	327000	334600	342100	349500	356700	363700	370000	
Terego	203600	209500	215200	221100	227300	233300	239300	245300	251500	257000	263300	269100	274700	280300	285900	290300	
Tororo	527400	541200	555100	569200	583400	597500	611600	625700	639700	653400	667000	680200	693100	705700	717700	728300	
Wakiso	2107500	2250000	2402800	2563800	2735100	2915200	3105700	3308000	3519300	3741000	3975300	4219200	4475400	4743000	5021300	5302500	
Yumbe	506600	535100	565100	596500	629400	663600	699300	736400	775000	815200	856600	899400	943500	989000	1035600	1082000	
Zombo	245600	252900	260200	267800	275400	283100	290700	298500	306100	313900	321500	329000	336400	343600	350700	357100	
